Step,DetectionBoxes_Precision/mAP,DetectionBoxes_Precision/mAP (large),DetectionBoxes_Precision/mAP (medium),DetectionBoxes_Precision/mAP (small),DetectionBoxes_Precision/mAP@.50IOU,DetectionBoxes_Precision/mAP@.75IOU,DetectionBoxes_Recall/AR@1,DetectionBoxes_Recall/AR@10,DetectionBoxes_Recall/AR@100,DetectionBoxes_Recall/AR@100 (large),DetectionBoxes_Recall/AR@100 (medium),DetectionBoxes_Recall/AR@100 (small),Loss/BoxClassifierLoss/classification_loss,Loss/BoxClassifierLoss/localization_loss,Loss/RPNLoss/localization_loss,Loss/RPNLoss/objectness_loss,Loss/total_loss,loss
200000,0.18953724,0.28035942,0.16812848,0.06524023,0.35032243,0.18647927,0.3522604,0.4636934,0.47859538,0.61029255,0.29779342,0.10346154,0.11090241,0.036205534,0.026529973,0.35807028,0.5317085,0.5317085
202000,0.17752728,0.2771531,0.14009798,0.09583608,0.34296972,0.1663511,0.44407848,0.5239696,0.5374949,0.6021481,0.30814922,0.0992647,0.10429861,0.037039235,0.023257194,0.35852903,0.52312404,0.52312404
204000,0.2112713,0.3026076,0.15736946,0.07499864,0.38665903,0.20352952,0.4257978,0.50897807,0.5145477,0.62246954,0.33627772,0.122666664,0.10184777,0.036298223,0.027540281,0.35947722,0.52516365,0.52516365
206000,0.17941384,0.28019702,0.09860231,0.14182162,0.34852082,0.17342444,0.37803522,0.47919005,0.48616877,0.5778634,0.30854306,0.19814815,0.118551366,0.04040961,0.026067797,0.3553048,0.5403337,0.5403337
208000,0.16446888,0.25320995,0.10660254,0.0960565,0.31758133,0.15690926,0.39470077,0.48984346,0.49907646,0.6095504,0.3369958,0.13099748,0.101761304,0.037826687,0.03160872,0.36074486,0.5319415,0.5319415
210000,0.16300592,0.245822,0.1391522,0.050823886,0.31790188,0.15059596,0.3139974,0.4256765,0.4341214,0.5603702,0.29758185,0.0675505,0.117317945,0.037593022,0.02410207,0.3594636,0.5384765,0.5384765
212000,0.168629,0.20608528,0.13012847,0.094884485,0.3079113,0.17103367,0.37520605,0.4389811,0.4516715,0.47816643,0.2890182,0.103812315,0.10368176,0.037217878,0.02501688,0.3580925,0.5240089,0.5240089
214000,0.17757194,0.24521318,0.1022501,0.13069306,0.33351922,0.18500377,0.41845098,0.5083337,0.51737,0.5581073,0.42065307,0.13285714,0.10574929,0.03857188,0.03160694,0.3599716,0.53589994,0.53589994
216000,0.16586055,0.2484028,0.12183646,0.121739745,0.31561622,0.16114469,0.42913163,0.5396965,0.5577249,0.5971325,0.3342757,0.13333334,0.10768341,0.039553188,0.021704338,0.35646126,0.5254024,0.5254024
218000,0.17102882,0.24357347,0.17162007,0.25082508,0.3252946,0.15775079,0.37546965,0.4925498,0.50351113,0.57176757,0.4025006,0.25308642,0.13044654,0.0433553,0.027189616,0.36161658,0.56260806,0.56260806
220000,0.19330737,0.26180702,0.17476305,0.05936665,0.36905798,0.17664427,0.39689398,0.45959267,0.46207932,0.55236167,0.32763797,0.06527778,0.10553998,0.036918737,0.028580818,0.35583794,0.5268773,0.5268773
224000,0.16668658,0.26068863,0.12759306,0.061122112,0.32443875,0.14594255,0.41579595,0.49558368,0.5077765,0.5895155,0.29465985,0.065476194,0.13195518,0.036902986,0.023658644,0.35645604,0.54897285,0.54897285
226000,0.17405212,0.20019558,0.13434985,0.015963119,0.3144715,0.17060165,0.35913613,0.44947842,0.4770739,0.47206095,0.4139963,0.05666667,0.12243489,0.03467516,0.026760263,0.35761997,0.5414904,0.5414904
228000,0.17598659,0.28076556,0.09990797,0.10495667,0.3254137,0.17827715,0.3719261,0.5035964,0.5115665,0.6158669,0.3118918,0.24814814,0.10901457,0.036045816,0.024496403,0.35519308,0.52474964,0.52474964
230000,0.15668327,0.19034307,0.13678907,0.09795436,0.30951878,0.146254,0.3580042,0.44483384,0.4587721,0.56177163,0.3351074,0.14311688,0.10628088,0.039189994,0.025727324,0.358072,0.52926993,0.52926993
232000,0.1762531,0.29459548,0.17641106,0.036280204,0.32850516,0.16981186,0.3955889,0.48559207,0.4941543,0.6313022,0.2638025,0.09028571,0.11460167,0.036805034,0.02967992,0.35620898,0.53729576,0.53729576
234000,0.17316988,0.22001402,0.09539869,0.038692534,0.33487642,0.17379567,0.37674424,0.46087494,0.46550763,0.5202114,0.17741379,0.11151866,0.119360216,0.041431833,0.02933752,0.36512965,0.5552593,0.5552593
236000,0.18358378,0.26804882,0.10826003,0.12953165,0.3456413,0.17732513,0.425351,0.50248444,0.5172831,0.5974861,0.37251323,0.15814815,0.10234934,0.036788028,0.029675402,0.3554962,0.5243087,0.5243087
238000,0.18346028,0.26515597,0.14319089,0.05489288,0.33972394,0.18683739,0.38652456,0.4835904,0.5037747,0.6036679,0.31420547,0.08050595,0.11913555,0.03743788,0.021111732,0.3559982,0.5336839,0.5336839
